"","x"
"1",170920
"2",176708.75
"3",189844.26
"4",184112.94
"5",176732.25
"6",185109.48
"7",193244.9
"8",190996.04
"9",178512.96
"10",187904
"11",193932.08
"12",188256.13
"13",179883.35
"14",187150.99
"15",192737
"16",192336.83
"17",187799.48
"18",194596.62
"19",201534.66
"20",201179.53
"21",194325.69
"22",199123.05
"23",202464.13
"24",200109.66
"25",195252.46
"26",203699.3
"27",210916.41
"28",210460.59
"29",200459.9
"30",205290.68
"31",212237.13
"32",211699.59
"33",208233.9
"34",218240.94
"35",226157.35
"36",224844.8
"37",216947.08
"38",228007.17
"39",230940.52
"40",229680.2
"41",226230.45
"42",233213.25
"43",241316.19
"44",240693.86
"45",237982.42
"46",248459
"47",255482.06
"48",256675.29
"49",252635.96
"50",264201.67
"51",273316.78
"52",259314.94
"53",246506.88
"54",258381.35
"55",270139.06
"56",273121.7
"57",269207.92
"58",280389.58
"59",288798
"60",288660.52
"61",283193.64
"62",293569.35
"63",299013.78
"64",296073.22
"65",288028.08
"66",296465.12
"67",306445.54
"68",303424.54
"69",295866.71
"70",308389.45
"71",314900.18
"72",311095.44
"73",306126.65
"74",307043.02
"75",312888.85
"76",310393.2
"77",301188.94
"78",298645.52
"79",299549.49
"80",293226.1
"81",285636.3
"82",288968.61
"83",292203.43
"84",286732.8
"85",286749.12
"86",291509.84
"87",296980.18
"88",293561.83
"89",290920.5
"90",294579.45
"91",301545.02
"92",297151.73
"93",292647.56
"94",297748.94
"95",305150.92
"96",302108.7
"97",291912.45
"98",263699.74
